"           Untitled
STORY OF SEASONS: Friends of Mineral Town,-75%,"R$ 23,49","90,77%",Jul 2020,in 11 days,3 days ago
Rune Factory 3 Special,-60%,"R$ 55,99","88,73%",Sep 2023,in 11 days,3 days ago
Rune Factory 4 Special,-70%,"R$ 35,99","84,01%",Dec 2021,in 11 days,3 days ago
STORY OF SEASONS: Pioneers of Olive Town,-65%,"R$ 55,99","80,51%",Sep 2021,in 11 days,3 days ago
The Legend of Heroes: Trails in the Sky SC,-35%,"R$ 45,49","93,67%",Oct 2015,in 11 days,3 days ago
The Legend of Heroes: Trails of Cold Steel,-50%,"R$ 36,49","91,47%",Aug 2017,in 11 days,3 days ago
SENRAN KAGURA ESTIVAL VERSUS,-70%,"R$ 17,39","91,09%",Mar 2017,in 11 days,3 days ago
SENRAN KAGURA SHINOVI VERSUS,-60%,"R$ 15,19","91,09%",Jun 2016,in 11 days,3 days ago
The Legend of Heroes: Trails in the Sky,-50%,"R$ 18,49","90,84%",Jul 2014,in 11 days,3 days ago
The Legend of Heroes: Trails of Cold Steel II,-50%,"R$ 36,49","89,7%",Feb 2018,in 11 days,3 days ago
The Legend of Heroes: Trails in the Sky the 3rd,-25%,"R$ 41,99","89,7%",May 2017,in 11 days,3 days ago
Fate/EXTELLA LINK,-70%,"R$ 28,19","89,62%",Mar 2019,in 11 days,3 days ago
Ys Origin,-75%,"R$ 9,24","89,52%",May 2012,in 11 days,3 days ago
SENRAN KAGURA Burst Re:Newal,-70%,"R$ 17,39",89%,Jan 2019,in 11 days,3 days ago
Sakuna: Of Rice and Ruin,-50%,"R$ 37,74",89%,Nov 2020,in 11 days,3 days ago
Touhou: Scarlet Curiosity,-70%,"R$ 8,69","88,24%",Jul 2018,in 11 days,3 days ago
Fate/EXTELLA,-65%,"R$ 26,42","87,79%",Jul 2017,in 11 days,3 days ago
SENRAN KAGURA Bon Appétit! - Full Course,-75%,"R$ 9,49","87,36%",Nov 2016,in 11 days,3 days ago
Potionomics,-20%,"R$ 37,99","87,26%",Oct 2022,in 11 days,3 days ago
Torn Away,-40%,"R$ 28,19","87,13%",Sep 2023,in 11 days,3 days ago
Ys: Memories of Celceta,-40%,"R$ 28,49","87,12%",Jul 2018,in 11 days,3 days ago
Zwei: The Ilvard Insurrection,-60%,"R$ 15,19","87,03%",Oct 2017,in 11 days,3 days ago
Xanadu Next,-70%,"R$ 8,69","87,02%",Nov 2016,in 11 days,3 days ago
Ys SEVEN,-40%,"R$ 27,59","86,92%",Aug 2017,in 11 days,3 days ago
Nitroplus Blasterz: Heroines Infinite Duel,-75%,"R$ 9,49","85,36%",Dec 2016,in 11 days,3 days ago
Ys VI: The Ark of Napishtim,-75%,"R$ 9,24","85,03%",Apr 2015,in 11 days,3 days ago
Enshrouded,-20%,"R$ 71,99","84,58%",Jan 2024,in 11 days,3 days ago
METAL SLUG 3,-80%,"R$ 2,99","87,08%",Feb 2014,in 12 days,2 days ago
METAL SLUG,-80%,"R$ 3,19","86,17%",Jun 2015,in 12 days,2 days ago
METAL SLUG X,-80%,"R$ 3,19","85,08%",Oct 2014,in 12 days,2 days ago
METAL SLUG 2,-80%,"R$ 2,79","83,3%",Apr 2016,in 12 days,2 days ago
"Magical Mic Duel: Senpai, Hear My Spell",-50%,"R$ 11,75","84,9%",May 2024,in 13 days,yesterday
Backpack Battles,-20%,"R$ 33,59","87,41%",Mar 2024,in 13 days,21 hours ago
Apollo Justice: Ace Attorney Trilogy,-40%,"R$ 127,80","87,15%",Jan 2024,in 13 days,21 hours ago
Monster Hunter Stories,-20%,"R$ 103,20","83,41%",Jun 2024,in 13 days,21 hours ago
Homicipher,-10%,"R$ 44,99","91,81%",Nov 2024,in 2 hours,7 days ago
Beacon Pines,-60%,"R$ 23,99","93,53%",Sep 2022,in 2 hours,14 days ago
REVEIL,-35%,"R$ 38,99","84,49%",Mar 2024,in 2 hours,14 days ago
The Legend of Heroes: Trails from Zero,-30%,"R$ 83,99","92,12%",Sep 2022,in 3 hours,14 days ago
The Legend of Heroes: Trails to Azure,-25%,"R$ 89,99","91,53%",Mar 2023,in 3 hours,14 days ago
The Legend of Heroes: Trails into Reverie,-35%,"R$ 105,30","89,3%",Jul 2023,in 3 hours,14 days ago
The Legend of Heroes: Trails of Cold Steel IV,-60%,"R$ 64,80","88,16%",Apr 2021,in 3 hours,14 days ago
The Legend of Heroes: Trails of Cold Steel III,-75%,"R$ 40,50","87,75%",Mar 2020,in 3 hours,14 days ago
The Legend of Heroes: Trails through Daybreak,-20%,"R$ 129,60","87,17%",Mar 2023,in 3 hours,14 days ago
Aquarium Designer,-45%,"R$ 11,37","82,55%",Oct 2021,in 3 hours,14 days ago
